City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lata,40.1629,-8.3327,286.44,96,75,0.45,PT,1667520620
84,marawi,7.9986,124.2928,297.75,79,68,0.18,PH,1667520621
85,vardo,70.3705,31.1107,277.14,87,100,12.35,NO,1667520621
86,mount isa,-20.7333,139.5,299.02,17,0,7.2,AU,1667520621
87,katobu,-4.9408,122.5276,302.35,68,90,1.03,ID,1667520622
88,olafsvik,64.8945,-23.7142,277.84,91,57,6.26,IS,1667520622
89,totskoye,52.5248,52.7623,265.19,98,55,2.03,RU,1667520623
90,patiya,22.2931,91.9762,293.71,87,100,1.61,BD,1667520623
91,raudeberg,61.9875,5.1352,283.63,70,100,7.07,NO,1667520623
92,castro,-24.7911,-50.0119,281.93,92,42,2.61,BR,1667520624
93,rikitea,-23.1203,-134.9692,294.3,68,100,7.03,PF,1667520624
94,havre-saint-pierre,50.2334,-63.5986,276.82,74,80,3.58,CA,1667520459
95,pansoy,13.1825,122.5989,299.91,78,60,3.42,PH,1667520625
96,portland,45.5234,-122.6762,282.64,83,100,3.58,US,1667520189
97,singaparna,-7.3515,108.111,296.11,92,100,0.98,ID,1667520625
98,tolmachevo,54.9824,82.7363,270.14,93,40,2.0,RU,1667520626
99,port alfred,-33.5906,26.891,293.45,79,95,8.73,ZA,1667520626
100,harper,4.375,-7.7169,298.56,88,100,3.17,LR,1667520627
101,hay river,60.8156,-115.7999,267.55,76,100,4.5,CA,1667520627
102,remetea,46.7833,25.45,276.24,88,18,1.24,RO,1667520627
103,east london,-33.0153,27.9116,293.19,80,97,6.36,ZA,1667520557
104,songea,-10.6833,35.65,290.21,65,23,1.92,TZ,1667520628
105,mabaruma,8.2,-59.7833,296.23,96,87,1.24,GY,1667520628
106,saint-philippe,-21.3585,55.7679,293.92,79,89,4.62,RE,1667520629
107,kisanga,-7.4362,37.7034,294.22,76,11,1.59,TZ,1667520629
108,hitachi,36.6,140.65,288.53,72,100,7.49,JP,1667520630
109,biak,-0.9131,122.8766,300.37,76,94,0.58,ID,1667520630
110,krasnoselkup,65.7,82.4667,256.44,88,12,3.11,RU,1667520630
111,liverpool,53.4106,-2.9779,280.12,90,0,2.57,GB,1667520631
112,tromso,69.6496,18.957,279.47,81,75,6.69,NO,1667520631
113,nikolskoye,59.7035,30.7861,274.09,87,86,1.14,RU,1667520631
114,fortuna,40.5982,-124.1573,284.78,73,20,3.6,US,1667520632
115,gasa,31.5,34.4667,293.73,66,0,1.96,PS,1667520632
116,bilibino,68.0546,166.4372,246.24,92,4,1.71,RU,1667520632
117,lagoa,39.05,-27.9833,292.62,89,1,5.82,PT,1667520633
118,umm lajj,25.0213,37.2685,296.7,57,22,3.0,SA,1667520633
119,paamiut,61.994,-49.6678,275.68,85,100,0.84,GL,1667520634
120,ahome,25.9167,-109.1833,299.12,58,3,4.03,MX,1667520634
121,muros,42.7762,-9.0603,282.97,94,84,1.27,ES,1667520634
122,grand-santi,4.25,-54.3833,295.93,99,95,0.74,GF,1667520635
123,severo-kurilsk,50.6789,156.125,280.0,95,100,4.42,RU,1667520539
124,merauke,-8.4667,140.3333,302.57,68,97,2.79,ID,1667520636
125,ayagoz,47.9714,80.4392,276.66,67,67,2.89,KZ,1667520636
126,bethanien,-26.502,17.1583,287.21,35,16,2.77,NA,1667520636
127,megion,61.0296,76.1136,272.16,91,88,2.65,RU,1667520637
128,komsomolets,53.7453,62.0708,272.1,97,100,1.43,KZ,1667520637
129,lebu,-37.6167,-73.65,285.0,91,67,1.46,CL,1667520637
130,bengkulu,-3.8004,102.2655,298.15,87,100,2.33,ID,1667520398
131,cutro,39.0353,16.9819,288.89,48,0,2.16,IT,1667520638
132,sindor,62.8629,51.8905,267.5,90,46,2.06,RU,1667520638
133,bambous virieux,-20.3428,57.7575,296.6,79,55,3.11,MU,1667520639
134,longyearbyen,78.2186,15.6401,272.06,86,0,1.54,SJ,1667520639
135,bredasdorp,-34.5322,20.0403,290.66,97,100,5.95,ZA,1667520639
136,atuona,-9.8,-139.0333,298.45,79,19,5.65,PF,1667520640
137,mecca,21.4267,39.8261,296.51,51,1,2.06,SA,1667520414
138,hobart,-42.8794,147.3294,289.96,54,20,2.57,AU,1667520529
139,butaritari,3.0707,172.7902,299.97,71,65,5.98,KI,1667520640
140,kaeo,-35.1,173.7833,295.0,70,86,3.74,NZ,1667520641
141,aginskoye,51.1,114.53,268.06,58,83,5.18,RU,1667520641
142,stryn,61.9045,6.7226,285.64,86,100,2.35,NO,1667520641
143,acari,-15.4311,-74.6158,293.61,67,65,1.79,PE,1667520642
144,aranos,-24.1333,19.1167,294.52,14,42,5.2,NA,1667520642
145,kodiak,57.79,-152.4072,276.88,48,0,9.77,US,1667520642
146,rawson,-43.3002,-65.1023,293.97,31,0,10.86,AR,1667520643
147,arman,59.7,150.1667,270.94,92,100,4.34,RU,1667520479
148,khatanga,71.9667,102.5,254.01,98,99,2.93,RU,1667520643
149,oriximina,-1.7656,-55.8661,298.44,78,100,2.11,BR,1667520644
150,beisfjord,68.3751,17.5988,279.29,92,97,2.65,NO,1667520644
151,marzuq,14.4,46.4667,292.03,70,0,1.0,YE,1667520644
152,mahebourg,-20.4081,57.7,296.62,80,52,3.29,MU,1667520498
153,fare,-16.7,-151.0167,298.17,78,100,10.83,PF,1667520645
154,tasiilaq,65.6145,-37.6368,273.24,95,100,5.27,GL,1667520645
155,korla,41.7597,86.1469,280.28,47,52,4.08,CN,1667520646
156,atambua,-9.1061,124.8925,300.94,70,100,0.39,ID,1667520646
157,hirna,9.2167,41.1,288.2,57,33,1.46,ET,1667520647
158,dauphin,51.1494,-100.0502,271.6,49,63,5.55,CA,1667520647
159,torbay,47.6666,-52.7314,276.35,62,83,3.13,CA,1667520647
160,nanortalik,60.1432,-45.2371,276.94,78,100,12.81,GL,1667520648
161,egvekinot,66.3167,-179.1667,257.21,81,98,1.68,RU,1667520648
162,te anau,-45.4167,167.7167,284.25,70,98,4.93,NZ,1667520648
163,souillac,-20.5167,57.5167,295.17,83,45,3.27,MU,1667520649
164,ilulissat,69.2167,-51.1,271.16,54,75,5.66,GL,1667520649
165,domoni,-12.2569,44.5319,297.0,88,8,3.43,KM,1667520649
166,mapiripan,2.8892,-72.1256,293.49,85,99,2.12,CO,1667520650
167,pangody,65.85,74.4859,259.73,88,19,2.97,RU,1667520650
168,grindavik,63.8424,-22.4338,274.41,93,0,3.09,IS,1667520650
169,tessalit,20.1986,1.0114,295.46,19,0,5.19,ML,1667520651
170,laguna,38.421,-121.4238,290.31,35,0,5.14,US,1667520651
171,caravelas,-17.7125,-39.2481,293.63,90,100,8.85,BR,1667520652
172,shingu,33.7333,135.9833,292.57,63,93,1.66,JP,1667520652
173,marumori,37.9167,140.7667,285.32,68,100,2.41,JP,1667520652
174,lorengau,-2.0226,147.2712,303.35,64,50,0.59,PG,1667520653
175,angoche,-16.2325,39.9086,297.74,86,75,1.49,MZ,1667520653
176,galegos,41.5627,-8.572,285.01,90,73,1.84,PT,1667520653
177,cabo san lucas,22.8909,-109.9124,300.71,75,20,3.09,MX,1667520654
178,kapaa,22.0752,-159.319,301.33,75,20,7.72,US,1667520654
179,boke,10.9409,-14.2967,297.27,88,99,0.81,GN,1667520655
180,chesma,53.8111,60.6533,271.31,97,100,2.0,RU,1667520656
181,khartoum,15.5518,32.5324,298.16,21,3,0.45,SD,1667520469
182,sao joao do piaui,-8.3581,-42.2467,296.86,83,100,1.29,BR,1667520656
183,adrar,20.5022,-10.0711,295.91,12,0,4.61,MR,1667520657
184,pirovskoye,57.6267,92.2658,273.87,93,100,3.55,RU,1667520657
